ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalThm,AverageTherms
94560,10,2013,Gas- Residential,N,"12,284","309,480",25
94561,10,2013,Gas- Commercial,Y,0,0,
94561,10,2013,Gas- Residential,Y,"10,976","218,960",20
94563,10,2013,Gas- Commercial,N,154,"60,704",394
94563,10,2013,Gas- Residential,N,"6,411","320,487",50
94564,10,2013,Gas- Commercial,Y,566,"122,051",216
94564,10,2013,Gas- Residential,N,"6,324","177,045",28
94565,10,2013,Gas- Commercial,N,639,"112,658",176
94565,10,2013,Gas- Residential,N,"25,948","540,546",21
94566,10,2013,Gas- Commercial,N,695,"139,233",200
94566,10,2013,Gas- Residential,N,"13,557","396,812",29
94568,10,2013,Gas- Commercial,Y,"1,530","525,104",343
94568,10,2013,Gas- Residential,N,"16,428","419,684",26
94569,10,2013,Gas- Commercial,Y,0,0,
94569,10,2013,Gas- Residential,Y,0,0,
94571,10,2013,Gas- Commercial,Y,0,0,
94571,10,2013,Gas- Residential,Y,"3,885","67,556",17
94572,10,2013,Gas- Commercial,Y,0,0,
94572,10,2013,Gas- Residential,N,"2,886","74,909",26
94574,10,2013,Gas- Commercial,Y,284,"84,586",298
94574,10,2013,Gas- Residential,N,"2,909","107,517",37
94576,10,2013,Gas- Commercial,Y,0,0,
94576,10,2013,Gas- Residential,N,174,"5,986",34
94577,10,2013,Gas- Commercial,Y,"1,887","449,528",238
94577,10,2013,Gas- Residential,N,"14,326","408,708",29
94578,10,2013,Gas- Commercial,Y,0,0,
94578,10,2013,Gas- Residential,N,"10,599","305,089",29
94579,10,2013,Gas- Commercial,Y,0,0,
94579,10,2013,Gas- Residential,N,"6,068","185,995",31
94580,10,2013,Gas- Commercial,Y,0,0,
94580,10,2013,Gas- Residential,N,"8,296","242,532",29
94582,10,2013,Gas- Commercial,Y,0,0,
94582,10,2013,Gas- Residential,N,"12,686","308,161",24
94583,10,2013,Gas- Commercial,Y,0,0,
94583,10,2013,Gas- Residential,N,"12,705","343,051",27
94585,10,2013,Gas- Commercial,Y,381,"52,862",139
94585,10,2013,Gas- Residential,N,"8,732","218,915",25
94586,10,2013,Gas- Commercial,Y,0,0,
94586,10,2013,Gas- Residential,N,252,"8,478",34
94587,10,2013,Gas- Commercial,Y,"1,066","294,836",277
94587,10,2013,Gas- Residential,N,"18,098","523,188",29
94588,10,2013,Gas- Commercial,Y,0,0,
94588,10,2013,Gas- Residential,N,"9,802","264,362",27
94589,10,2013,Gas- Commercial,Y,273,"49,517",181
94589,10,2013,Gas- Residential,N,"8,558","243,421",28
94590,10,2013,Gas- Commercial,N,745,"83,144",112
94590,10,2013,Gas- Residential,N,"12,748","323,927",25
94591,10,2013,Gas- Commercial,Y,0,0,
94591,10,2013,Gas- Residential,N,"17,734","434,135",24
94595,10,2013,Gas- Commercial,Y,0,0,
94595,10,2013,Gas- Residential,N,"6,829","175,532",26
94596,10,2013,Gas- Commercial,Y,626,"216,356",346
94596,10,2013,Gas- Residential,N,"6,247","231,646",37
94597,10,2013,Gas- Commercial,Y,0,0,
94597,10,2013,Gas- Residential,N,"8,207","197,438",24
94598,10,2013,Gas- Commercial,N,253,"95,563",378
94598,10,2013,Gas- Residential,N,"9,397","308,258",33
94599,10,2013,Gas- Commercial,Y,0,0,
94599,10,2013,Gas- Residential,N,924,"24,444",26
94601,10,2013,Gas- Commercial,N,465,"97,428",210
94601,10,2013,Gas- Residential,N,"12,818","355,188",28
94602,10,2013,Gas- Commercial,Y,0,0,
94602,10,2013,Gas- Residential,N,"10,728","295,767",28
94603,10,2013,Gas- Commercial,Y,0,0,
94603,10,2013,Gas- Residential,N,"8,996","262,284",29
94605,10,2013,Gas- Commercial,Y,600,"122,119",204
94605,10,2013,Gas- Residential,N,"14,333","449,914",31
94606,10,2013,Gas- Commercial,Y,568,"116,646",205
94606,10,2013,Gas- Residential,N,"11,558","333,080",29
94607,10,2013,Gas- Commercial,N,520,"133,423",257
94607,10,2013,Gas- Residential,N,"5,618","201,802",36
94608,10,2013,Gas- Commercial,Y,897,"295,406",329
94608,10,2013,Gas- Residential,N,"8,362","245,614",29
94609,10,2013,Gas- Commercial,Y,0,0,
94609,10,2013,Gas- Residential,N,"8,320","224,469",27
94610,10,2013,Gas- Commercial,Y,0,0,
94610,10,2013,Gas- Residential,N,"10,021","338,263",34
94611,10,2013,Gas- Commercial,Y,643,"143,362",223
94611,10,2013,Gas- Residential,N,"13,539","506,280",37
94612,10,2013,Gas- Commercial,N,387,"124,263",321
94612,10,2013,Gas- Residential,N,"2,422","106,249",44
94613,10,2013,Gas- Commercial,Y,0,0,
94613,10,2013,Gas- Residential,Y,0,0,
94618,10,2013,Gas- Commercial,Y,0,0,
94618,10,2013,Gas- Residential,N,"6,856","218,372",32
94619,10,2013,Gas- Commercial,Y,0,0,
94619,10,2013,Gas- Residential,Y,"8,595","246,286",29
94621,10,2013,Gas- Commercial,Y,519,"170,041",328
94621,10,2013,Gas- Residential,N,"7,658","234,270",31
94702,10,2013,Gas- Commercial,Y,384,"45,377",118
94702,10,2013,Gas- Residential,N,"6,605","184,387",28
94703,10,2013,Gas- Commercial,Y,0,0,
94703,10,2013,Gas- Residential,N,"7,930","209,424",26
94704,10,2013,Gas- Commercial,Y,589,"196,128",333
